Case Number,Date,Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
2018.04.30.R,Reported 30-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Swimming,M,,Minor injury to ankle,N,,,
2018.04.28.b,28-Apr-18,2018,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark,
2018.04.28.a,28-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No injury, knocked off board by shark",N,16h50,,
2018.04.25.b,25-Apr-18,2018,Questionable,AUSTRALIA,New South Wales,Surfing,M,,No injury,N,07h00,Questionable,
2018.04.25.a,25-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark,
2018.04.24,24-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m",
2018.04.23,23-Apr-18,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark,
2018.04.22,22-Apr-18,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m",
2018.04.19,19-Apr-18,2018,Unprovoked,USA,Hawaii,Body boarding,M,29,Lacerations to right lower leg,N,,6' shark,
2018.04.15.d,15-Apr-18,2018,Unprovoked,THAILAND,Hua Hin,Swimming,M,54,Lacerations to foot and ankle,N,,Juvenile bull shark,
2018.04.15.c,15-Apr-18,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,,
2018.04.15.b,15-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,41,Laceration to right thigh,N,,,
2018.04.15.a,15-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,37,Lacerations to legs,N,08h00,,
2018.04.14,14-Apr-18,2018,Unprovoked,BAHAMAS,New Providence,Surfing,M,,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,
2018.04.10.R,Reported 10-Apr-2018,2018,Invalid,BRAZIL,Alagoas,Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed,
2018.04.09,9-Apr-18,2018,Unprovoked,NEW CALEDONIA,,Windsurfing,,,"No injury, shark bit board",N,17h00,2 m shark,
2018.04.05,5-Apr-18,2018,Unprovoked,BAHAMAS,,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,
2018.04.03,3-Apr-18,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark,
2018.03.31,31-Mar-18,2018,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'",
2018.03.14,14-Mar-18,2018,Unprovoked,AUSTRALIA,Western Australia,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark,
2018.03.09.b,9-Mar-18,2018,Unprovoked,AUSTRALIA,Victoria,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,
2018.03.09.a,9-Mar-18,2018,Unprovoked,AUSTRALIA,Victoria,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark,
2018.02.24,24-Feb-18,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,Blacktip shark,
2018.02.23,23-Feb-18,2018,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",
2018.02.17,18-Feb-18,2018,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,,
2018.02.15,15-Feb-18,2018,Unprovoked,AUSTRALIA,New South Wales,Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m",
2018.02.14,14-Feb-18,2018,Invalid,AUSTRALIA,Queensland,Swimming,F,,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong,
2018.02.11,11-Feb-18,2018,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark",
2018.02.03,3-Feb-18,2018,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,45,Injuries to right foot,N,,Galapagos shark?,
2018.02.01,1-Feb-18,2018,Invalid,AUSTRALIA,Western Australia,Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,,2m shark,
2018.01.28,28-Jan-18,2018,Unprovoked,AUSTRALIA,Western Australia,,M,18,Injuries to right leg,N,08h00,Bull shark,
2018.01.21,21-Jan-18,2018,Unprovoked,NEW CALEDONIA,,Spearfishing,M,40s,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m ",
2018.01.14,14-Jan-18,2018,Unprovoked,AUSTRALIA,Queensland,Diving,M,,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,
2018.01.13,13-Jan-18,2018,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,28,"No injury, shark took his swimfin",N,,"White shark, 3.5 m",
2018.01.12,12-Jan-18,2018,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark,
2018.01.05,5-Jan-18,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,Foot bitten,N,,Wobbegong shark?,
2017.12.31,31-Dec-17,2017,Unprovoked,USA,Hawaii,Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,
2017.12.30,30-Dec-17,2017,Unprovoked,USA,California,Surfing,F,35,Foot bitten,N,12h00,,
2017.12.21,21-Dec-17,2017,Provoked,MALAYSIA,Sepang,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,,Juvenile nurse shark,
2017.12.09,9-Dec-17,2017,Unprovoked,BAHAMAS,,Snorkeling,F,25,Minor injury to arm,N,,Nurse shark. 5',
2017.11.30.b,30-Nov-17,2017,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,M,26,Serious injury to leg,N,,"Tiger shark, female",
2017.11.30.a,30-Nov-17,2017,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,F,49,FATAL,Y,,"Tiger shark, female",
2017.11.25.R,Reported 25-Nov-2017,2017,Sea Disaster,LIBYA,,2 boats capsized,,,FATAL,Y,,Some drowned but other may have been killed by blue sharks,
2017.11.24,24-Nov-17,2017,Unprovoked,USA,California,Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m",
2017.11.18,18-Nov-17,2017,Unprovoked,USA,Florida,Surfing,F,14,Heel bitten,N,Late afternoon,,
2017.11.13.R,Reported 13-Nov-2017,2017,Unprovoked,,,Surfing,M,24,Puncture wounds to feet,N,,,
2017.11.13,13-Nov-17,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark,
2017.11.04,4-Nov-17,2017,Unprovoked,CUBA,Holquin Province,Night bathing,M,22,FATAL,Y,23h30,Tiger shark,
2017.10.31.R,Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,Queensland,Snorkeling,M,7,Calf injured,N,,Cookiecutter shark,
2017.10.28,28-Oct-17,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m",
2017.10.26,26-Oct-17,2017,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,,No injury but shark bit SUP,N,15h00,,
2017.10.23.c,23-Oct-17,2017,Unprovoked,MAURITIUS,Pamplemousses ,Swimming,M,,Minor injury to foot,N,Afternoon,,
2017.10.23.b,23-Oct-17,2017,Unprovoked,USA,Florida,Surfing ,M,17,Lacerations to left foot,N,17h00,,
2017.10.23.a,23-Oct-17,2017,Unprovoked,USA,Florida,Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,,
2017.10.22,22-Oct-17,2017,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m",
2017.10.21,21-Oct-17,2017,Unprovoked,NEW ZEALAND,North Island,Kayaking,M,,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,
2017.10.18,18-Oct-17,2017,Unprovoked,USA,Florida,Swimming,M,,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet",
2017.10.09,9-Oct-17,2017,Unprovoked,USA,Hawaii,Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet",
2017.10.05,5-Oct-17,2017,Unprovoked,USA,Hawaii,Snorkeling,F,40,Abrasions,N,12h30,8' shark,
2017.10.01,1-Oct-17,2017,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,31,FATAL,,,Death may have been due to drowning,
2017.09.25.b,25-Sep-17,2017,Unprovoked,USA,Florida,Surfing,M,,Lacerations to lower left leg and foot,N,Morning,5' shark,
2017.09.25.a,25-Sep-17,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m",
2017.09.24.b,24-Sep-17,2017,Invalid,USA,New York,Surfing,M,33,"Lacerations to right ankle, foot & toe",,15h30,Questionable,
2017.09.24.a,24-Sep-17,2017,Unprovoked,USA,Florida,Surfing,M,,Laceration to upper arm,N,14h00,4' to 5' shark,
2017.09.20,20-Sep-17,2017,Unprovoked,USA,Florida,Surfing,M,,Minor lacerations to sole of left foot,N,Morning,,
2017.09.16.b,16-Sep-17,2017,Unprovoked,SPAIN,Canary Islands,Body surfing,M,13,Lacerations to right foot,N,,"Porbeagle, 1.5 m",
2017.09.16.a,16-Sep-17,2017,Unprovoked,USA,Florida,Surfing,M,28,Lacerations to left foot,N,16h30,,
2017.09.15.b,15-Sep-17,2017,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",,Afternoon,,
2017.09.15.a,15-Sep-17,2017,,SAMOA, Upolu Island,Fishing,M,,Injuries to hands and legs,N,Night,,
2017.09.14,17-Sep,2017,Boating,AUSTRALIA,Westerm Australia,Fishing,,,"sharks rammed boats, no injury to occupants",N,,"White shark, 3.5m",
2017.09.13,13-Sep-17,2017,Unprovoked,USA,Florida,Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark,
2017.09.10.b,10-Sep-17,2017,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,M,,Minor injuries,N,15h00,,
2017.09.10.a,10-Sep-17,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m ",
2017.09.06.R,Reported 06-Sep-2017,2017,Unprovoked,SOLOMON ISLANDS,,Spearfishing,M,,Foot bitten,N,,,
2017.09.03.b,3-Sep-17,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",M,,FATAL,Y,Morning,,
2017.09.03.a,3-Sep-17,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,M,42,Injury to ankle & feet,N,10h00,,
2017.09.02.c,2-Sep-17,2017,Unprovoked,USA,Florida,Swimming,M,,Lacerations to abdomen,N,,Nurse shark,
2017.09.02.b,2-Sep-17,2017,Unprovoked,USA,Texas,Swimming,F,,Lacerations to foot,N,,,
2017.09.02.a,2-Sep-17,2017,Unprovoked,USA,Florida,Surfing,M,17,Minor injury to right hand,N,10h44,,
2017.08.29,29-Aug-17,2017,Unprovoked,AUSTRALIA,Victoria,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m",
2017.08.27,27-Aug-17,2017,Unprovoked,USA,Florida,Wading,F,3,Leg injured,N,13h19,,
2017.08.26.b,26-Aug-17,2017,Invalid,SPAIN,Castellon,Swimming,F,11,Lacerations to left foot,,Midday,Shark involvement questionable,
2017.08.26.a,26-Aug-17,2017,Unprovoked,NEW ZEALAND,North Island,Canoeing,M,,"No injury, shark bit canoe",N,,,
2017.08.23,23-Aug-17,2017,Unprovoked,USA,Massachusetts,SUP,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'",
2017.08.18,18-Aug-17,2017,Unprovoked,BAHAMAS,,Spearfishing,M,,Hand injured,N,15h00,5' shark,
2017.08.10,10-Aug-17,2017,Unprovoked,USA,South Carolina,Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark,
2017.08.05,5-Aug-17,2017,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,20,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m",
2017.08.03,3-Aug-17,2017,Provoked,USA,Massachusetts,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark,
2017.08.01,1-Aug-17,2017,Boating,USA,California,Kayaking / Fishing,M,,"No injury, bow of kayak bitten",N,10h45,"White shark, 10'",
2017.07.31,31-Jul-17,2017,Unprovoked,USA,Florida,Skimboarding,M,15,Lacerations to lower leg,N,18h30,,
2017.07.29.c,29-Jul-17,2017,Invalid,USA,South Carolina,Swimming,M,10,Abrasions and cuts to sole of foot,,15h00,A small shark,
2017.07.29.a,29-Jul-17,2017,Unprovoked,USA,South Carolina,,F,12,Bite to left thigh / minor injury,N,Afternoon,,
2017.07.27,27-Jul-17,2017,Unprovoked,BAHAMAS,New Providence District,Snorkeling,F,,Foot & ankle injured,N,,,
2017.07.26.R,Reported 26-Jul-2017,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,M,,Severe lacerations to left hand,N,,,
2017.07.24,24-Jul-17,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,M,37,Torso bitten,N,17h00,,
2017.07.23.b,23-Jul-17,2017,Unprovoked,USA,New Jersey,,F,,Minor injury to hand,N,,Sandtiger shark  2',
2017.07.23.a,23-Jul-17,2017,Unprovoked,SPAIN,Majorca,Swimming,F,,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',
2017.07.22,22-Jul-17,2017,Unprovoked,USA,Florida,,F,40,Foot bitten,N,12h30,"""A small shark""",
2017.07.20.c,20-Jul-17,2017,Invalid,USA,South Carolina,Swimming,F,8,Foot injured,,,Shark involvement not confirmed,
2017.07.20.b,20-Jul-17,2017,Boating,USA,California,Kayaking,M,40,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'",
2017.07.20.a,20-Jul-17,2017,Unprovoked,USA,California,SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'",
2017.07.14.b,14-Jul-17,2017,Unprovoked,USA,Washington,Surfing,M,,Pulled off board by shark but no injury,N,18h30,"White shark, 9'",
2017.07.14.a,14-Jul-17,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"Minor injury, grazed by shark",N,11h45,,
2017.07.11,11-Jul-17,2017,Boating,USA,California,Kayaking,M,,"No injury, kayak bitten",N,11h00,White shark,
2017.07.09,9-Jul-17,2017,Unprovoked,USA,Florida,Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'",
2017.07.07.R,Reported 07-Jul-2017,2017,Provoked,MEXICO,Tabasco,Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"Tiger shark, 100 kg",
2017.07.07,7-Jul-17,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m",
2017.07.02,2-Jul-17,2017,Invalid,COMOROS,Anjouan,Fishing,,,"Skull found in shark, a probable drowning & scavenging",,,Shark involvement prior to death not confirmed,
2017.06.29,29-Jun-17,2017,Invalid,USA,South Carolina,Fishing,M,,"Arm injured by hook, not by a shark",,19h30,No shark invovlement ,
2017.06.21,21-Jun-17,2017,Unprovoked,USA,South Carolina,Swimming,F,16,Left foot bitten,N,,,
2017.06.19,19-Jun-17,2017,Unprovoked,USA,Florida,Surfing,M,,1 to 2-inch laceration behind knee,N,Morning,,
2017.06.18.b,18-Jun-17,2017,Unprovoked,USA,South Carolina,Swimming,F,14,Leg bitten,N,,"Bull shark, 4' to 5'",
2017.06.18.a,18-Jun-17,2017,Unprovoked,REUNION,,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m",
2017.06.17,17-Jun-17,2017,Unprovoked,SPAIN,Ibiza Island,Swimming,M,82,2-inch laceration to hand,N,12h00,,
2017.06.05,2017.06.05,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,M,,Injuries to hand and wrist,N,,,
2017.06.14.R,Reported 14-Jun-2017,2017,Unprovoked,BAHAMAS,,Feeding sharks,F,,Fingernail pulled off ,N,,,
2017.06.11,11-Jun-17,2017,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m",
2017.06.10.b,10-Jun-17,2017,Unprovoked,AUSTRALIA,Victoria,Surfing,F,,"No injury, knocked off board",N,15h45,Seven-gill shark,
2017.06.10.a,10-Jun-17,2017,Unprovoked,USA,Florida,Surfing,M,19,Laceration to left foot,N,10h00,,
2017.06.07.R,Reported 07-Jun-2017,2017,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound",
2017.06.04,4-Jun-17,2017,Unprovoked,USA,Florida,Spearfishing,M,,Laceration to shin,N,,8' shark,
2017.06.02,2-Jun-17,2017,Unprovoked,BAHAMAS,New Providence ,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00,Tiger shark,
2017.05.30,30-May-17,2017,Provoked,USA,South Carolina,Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,3' shark,
2017.05.28,28-May-17,2017,Unprovoked,USA,Florida,Feeding sharks,M,,Lacerations to right arm,N,Morning,Tiger shark,
2017.05.27,27-May-17,2017,Invalid,AUSTRALIA,New South Wales,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,,
2017.05.12,12-May-17,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,M,41,Right leg severely bitten,N,Morning,,
2017.05.06.R,Reported 06-May-2017,2017,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,,9' shark,
2017.05.06,5-May-17,2017,Unprovoked,MEXICO,Baja California Sur,Snorkeling,M,33,FATAL,Y,17h00,,
2017.05.03,3-May-17,2017,Invalid,USA,California,Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",,14h30,Shark involvement highly doubtful,
2017.04.29.d,29-Apr-17,2017,Unprovoked,USA,California,Swimming,F,,Major injury to posterior thigh,N,17h34,,
2017.04.29.c,29-Apr-17,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,14,Minor injury to right calf,N,17h10,,
2017.04.29.b,29-Apr-17,2017,Unprovoked,USA,South Carolina,Surfing,F,33,Left foot bitten,N,11h00,,
2017.04.29.a,29-Apr-17,2017,Unprovoked,REUNION,Saint-Leu,Body boarding,M,28,FATAL,Y,11h15,,
2017.04.27,27-Apr-17,2017,Unprovoked,NEW ZEALAND,South Island,Body boarding,F,20s,Puncture wounds & laceration above knee,N,14h00,,
2017.04.26,26-Apr-17,2017,Invalid,USA,Florida,Photo shoot,F,,Alleged laceration to left ankle,,,No shark invovlement - it ws a publicity stunt,
2017.04.22,22-Apr-17,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,F,40,Calf & foot bitten,N,16h00,,
2017.04.20,20-Apr-17,2017,Invalid,USA,South Carolina,Swimming,M,,Laceration & puncture wounds to left foot,,08h50,Shark involvement not confirmed,
2017.04.17.b,17-Apr-17,2017,Unprovoked,USA,Florida,,,,Minor bite to the foot,N,Afternoon,,
2017.04.17.a,17-Apr-17,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,F,17,FATAL,Y,16h00,White shark,
2017.04.14,14-Apr-17,2017,Unprovoked,USA,Hawaii,Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'",
2017.04.13,13-Apr-17,2017,Unprovoked,USA,Florida,Surfing,M,17,Lacerations to right foot,N,13h30,,
2017.04.12.b,12-Apr-17,2017,Unprovoked,USA,Florida,Surfing,F,,Lacerations to right foot,N,13h45,,
2017.04.12.a,12-Apr-17,2017,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,,Shark involvement prior to death not confirmed,
2017.04.11,11-Apr-17,2017,Unprovoked,USA,Florida,Surfing,F,35,Calf bitten,N,16h00,,
2017.04.10.b,10-Apr-17,2017,Unprovoked,USA,Florida,Paddle boarding,F,10,Laceration to calf,N,17h45,,
2017.04.10.a,10-Apr-17,2017,Unprovoked,USA,Florida,Swimming,F,21,Minor injury to left hand,N,17h00,,
2017.04.06,6-Apr-17,2017,Unprovoked,USA,Florida,Swimming,M,16,Foot injured,N,,,
2017.04.05,5-Apr-17,2017,Unprovoked,USA,Florida,Swimming,F,51,"Thigh nipped, minor injury",N,13h00,,
2017.04.02.b,2-Apr-17,2017,Unprovoked,AUSTRALIA,Queensland,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Afternoon,,
2017.04.02.a,2-Apr-17,2017,Unprovoked,USA,Florida,Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",
2017.03.27,27-Mar-17,2017,Unprovoked,USA,Florida,Surfing,M,58,Minor injury to left foot,N,10h00,,
2017.03.19,19-Mar-17,2017,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,30,Minor,N,18h30,,
2017.03.18,18-Mar-17,2017,Boating,USA,California,Kayaking,M,,"No injury, kayak bitten",N,14h30,White shark,
2017.03.11,11-Mar-17,2017,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,M,25,Right thigh injured ,N,,10' shark,
2017.03.09,Reported 09-Mar-2017,2017,Unprovoked,BAHAMAS,Great Exuma,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,,Lemon shark,
2017.02.25,25-Feb-17,2017,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,,Hand bitten,N,Morning,"Bull shark, 1.5",
2017.02.24,24-Feb-17,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No injury, shark struck board",N,Morning,,
2017.02.21,21-Feb-17,2017,Unprovoked,REUNION,Saint-Andre,Body boarding,M,26,Fatal,Y,09h30,,
2017.02.17,17-Feb-17,2017,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,26,Left leg severely bitten,N,10h20,,
2017.02.11,11-Feb-17,2017,Unprovoked,USA,Florida,Swimming,M,22,Injury to hand,N,13h30,,
2017.02.06.b,6-Feb-17,2017,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,F,,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon,Lemon shark pup,
2017.02.06.a,6-Feb-17,2017,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,,"Shark damaged kayak, no injury to occupant",N,,Tiger shark,
2017.02.01.b,1-Feb-17,2017,Boating,USA,South Carolina,Tagging sharks,,,"Shark bit boat, no injury to occupants",N,,"White shark, female, 14'",
2017.02.01.a,1-Feb-17,2017,Unprovoked,BAHAMAS,Bimini,Scuba Diving,M,37,Lacerations to upper right arm,N,,Caribbean reef shark,
2017.01.24,24-Jan-17,2017,Unprovoked,BRAZIL,Pernambuco,Swimming,M,21,Minor laceration to ring finger,N,13h20,,
2017.01.22,22-Jan-17,2017,Unprovoked,USA,Florida,,M,Teen,Puncture wounds to lower arm or hand,N,14h00,,
2017.01.21,21-Jan-17,2017,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m",
2017.01.13.b,13-Jan-17,2017,Unprovoked,AUSTRALIA,Queensland,Swimming,M,57,Injury to hand,N,13h30,,
2017.01.13.a,13-Jan-17,2017,Unprovoked,USA,Florida,,M,,Minor injury to hand,N,Morning,,
2017.01.09,9-Jan-17,2017,Unprovoked,INDONESIA,Bali,Surfing,M,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m",
2017.01.08.R,Reported 08-Jan-2017,,Invalid,AUSTRALIA,Queensland,Spearfishing,M,35,"No attack, shark made a threat display",,,Bull shark,
2017.01.05,5-Jan-17,2017,Unprovoked,USA,Florida,Wading,M,47,Minor injuries to foot,N,12h30,,
2017.01.03,3-Jan-17,2017,Invalid,AUSTRALIA,New South Wales,Wading,M,20,Minor injuries to foot & toes,,18h00,Shark involvement not confirmed,
2016.12.27,27-Dec-16,2016,Unprovoked,USA,Florida,Surfing,M,16,Lacerations to right forearm,N,17h00,,
